[QUOTE_DATE],[UNDERLYING_LAST],[EXPIRE_DATE],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_BID],[C_ASK],[STRIKE]
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000070,0.046660,,,227.200000,233.110000,850.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000310,0.047870,,,202.210000,208.100000,875.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000320,0.048850,,,177.200000,182.990000,900.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000280,0.051090,,,152.200000,158.210000,925.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000190,0.051640,,,127.100000,133.200000,950.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000220,0.053570,,0.000000,102.100000,107.990000,975.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,0.000000,0.054050,,1.000000,87.200000,93.000000,990.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,-0.000600,0.054690,,7.000000,77.090000,83.090000,1000.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,0.000000,0.056050,,1.000000,62.200000,68.200000,1015.000000
2010-09-01,1080.230000,2010-09-02,1.000000,1.000000,0.000000,0.000000,0.000000,0.056320,,15.000000,52.300000,58.090000,1025.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.982620,0.002190,0.033350,-0.114530,0.055930,0.243330,21.000000,37.400000,43.310000,1040.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.948010,0.005640,0.085720,-0.369110,0.054300,0.237960,115.000000,27.800000,33.490000,1050.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.865430,0.011620,0.173190,-0.931610,0.049860,0.232460,208.000000,18.700000,24.300000,1060.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.626300,0.022650,0.302680,-1.820080,0.036990,0.209820,534.000000,8.700000,10.500000,1075.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.508260,0.023160,0.318990,-2.016590,0.029890,0.215730,893.000000,6.710000,7.300000,1080.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.387410,0.023490,0.306560,-1.794800,0.023090,0.203380,569.000000,4.300000,4.500000,1085.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.118440,0.012080,0.158510,-0.726890,0.007220,0.205940,,0.810000,1.110000,1100.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.040610,0.005190,0.070050,-0.248930,0.002650,0.209610,804.000000,0.250000,0.300000,1110.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.011610,0.001600,0.023850,-0.072490,0.000290,0.239560,922.000000,0.050000,0.100000,1125.000000
2010-09-01,1080.230000,2010-09-02,1.000000,0.003010,0.000410,0.008300,-0.024530,0.000220,0.309930,596.000000,0.000000,0.060000,1150.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,0.000000,0.087880,,0.000000,877.310000,880.710000,200.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000280,0.109610,,,827.290000,830.700000,250.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000220,0.131430,,0.000000,777.300000,780.690000,300.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,0.000000,0.153030,,,727.300000,730.700000,350.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000200,0.174940,,0.000000,677.300000,680.700000,400.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000040,0.196840,,0.000000,627.290000,630.700000,450.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000330,0.207830,,,602.400000,605.690000,475.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000460,0.218610,,25.000000,577.400000,580.700000,500.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000250,0.241380,,,527.410000,530.700000,550.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,0.000000,0.262710,,0.000000,477.400000,480.700000,600.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000130,0.284620,,0.000000,427.410000,430.690000,650.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000240,0.287070,,,422.400000,425.710000,655.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000210,0.288730,,,417.390000,420.700000,660.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,0.000000,0.290810,,,412.400000,415.700000,665.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,0.000000,0.293750,,,407.400000,410.690000,670.000000
2010-09-01,1080.230000,2010-09-16,15.000000,1.000000,0.000000,0.000000,-0.000320,0.295770,,0.000000,402.410000,405.690000,675.000000
