[QUOTE_DATE],[UNDERLYING_LAST],[EXPIRE_DATE],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_BID],[C_ASK],[STRIKE]
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,193.500000,195.810000,975.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,168.490000,170.800000,1000.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,143.500000,145.800000,1025.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,118.500000,120.800000,1050.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,93.500000,95.800000,1075.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,68.490000,70.810000,1100.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,43.500000,45.790000,1125.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,2.000000,19.100000,21.010000,1150.000000
2010-04-01,1177.890000,2010-04-01,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,677.000000,0.750000,1.750000,1175.000000
2010-04-01,1177.890000,2010-04-01,0.000000,0.038690,0.004470,0.047850,-0.299700,0.000990,0.369360,,0.000000,0.600000,1200.000000
2010-04-01,1177.890000,2010-04-01,0.000000,0.025110,0.001860,0.035130,-0.300260,0.000990,0.551870,,0.000000,0.600000,1225.000000
2010-04-01,1177.890000,2010-04-01,0.000000,0.019350,0.001130,0.028360,-0.299880,0.000310,0.716080,0.000000,0.000000,0.600000,1250.000000
2010-04-01,1177.890000,2010-04-01,0.000000,0.016280,0.000750,0.024620,-0.300200,0.000650,0.870020,0.000000,0.000000,0.600000,1275.000000
2010-04-01,1177.890000,2010-04-08,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,201.500000,203.010000,975.000000
2010-04-01,1177.890000,2010-04-08,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,176.490000,178.000000,1000.000000
2010-04-01,1177.890000,2010-04-08,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,151.600000,153.100000,1025.000000
2010-04-01,1177.890000,2010-04-08,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,126.600000,128.190000,1050.000000
2010-04-01,1177.890000,2010-04-08,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,101.700000,103.400000,1075.000000
2010-04-01,1177.890000,2010-04-08,7.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,76.900000,78.600000,1100.000000
2010-04-01,1177.890000,2010-04-08,7.000000,0.960200,0.002450,0.137760,-0.126370,0.062140,0.182640,,52.200000,53.900000,1125.000000
2010-04-01,1177.890000,2010-04-08,7.000000,0.863450,0.009010,0.379660,-0.301050,0.150910,0.150780,4.000000,28.400000,30.200000,1150.000000
2010-04-01,1177.890000,2010-04-08,7.000000,0.545010,0.018270,0.689770,-0.515280,0.129930,0.125950,989.000000,9.000000,10.800000,1175.000000
2010-04-01,1177.890000,2010-04-08,7.000000,0.123280,0.010550,0.357280,-0.234260,0.031180,0.110710,,1.100000,1.250000,1200.000000
2010-04-01,1177.890000,2010-04-08,7.000000,0.018100,0.002080,0.080830,-0.055180,0.005180,0.128150,729.000000,0.100000,0.190000,1225.000000
