[QUOTE_DATE],[UNDERLYING_LAST],[EXPIRE_DATE],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_BID],[C_ASK],[STRIKE]
2010-11-01,1184.060000,2010-11-04,3.000000,1.000000,0.000000,0.000000,-0.000630,0.106800,,,206.300000,210.990000,975.000000
2010-11-01,1184.060000,2010-11-04,3.000000,1.000000,0.000000,0.000000,0.000000,0.109050,,,181.700000,185.700000,1000.000000
2010-11-01,1184.060000,2010-11-04,3.000000,1.000000,0.000000,0.000000,0.000000,0.112160,,,156.700000,160.700000,1025.000000
2010-11-01,1184.060000,2010-11-04,3.000000,1.000000,0.000000,0.000000,0.000000,0.114630,,,131.900000,135.910000,1050.000000
2010-11-01,1184.060000,2010-11-04,3.000000,1.000000,0.000000,0.000000,-0.000680,0.118070,,,107.000000,110.990000,1075.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.984340,0.000950,0.050210,-0.160260,0.118770,0.330910,2.000000,82.290000,86.310000,1100.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.971900,0.001610,0.080020,-0.267350,0.117810,0.325460,,72.500000,76.500000,1110.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.970890,0.001770,0.083510,-0.264860,0.118020,0.306690,,67.490000,71.500000,1115.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.947890,0.002860,0.131920,-0.445770,0.116170,0.304070,3.000000,57.900000,61.910000,1125.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.848850,0.006870,0.289850,-0.983220,0.106490,0.274080,12.000000,34.800000,38.700000,1150.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.628400,0.013080,0.468490,-1.449160,0.079790,0.232790,44.000000,14.900000,18.210000,1175.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.273480,0.012870,0.412120,-1.120240,0.034720,0.208690,204.000000,3.600000,5.000000,1200.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.154790,0.009520,0.295080,-0.735540,0.019950,0.201880,437.000000,1.600000,2.400000,1210.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.052890,0.004330,0.133540,-0.294600,0.006360,0.199290,,0.490000,0.600000,1225.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.020350,0.001850,0.061860,-0.130100,0.002860,0.215140,357.000000,0.140000,0.250000,1240.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.012870,0.001140,0.040120,-0.087450,0.001430,0.230010,,0.100000,0.150000,1250.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.007040,0.000590,0.023750,-0.056170,0.001000,0.270550,9.000000,0.050000,0.090000,1270.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.006510,0.000490,0.023270,-0.056300,0.000470,0.283660,495.000000,0.050000,0.100000,1275.000000
2010-11-01,1184.060000,2010-11-04,3.000000,0.002200,0.000260,0.010260,-0.020100,0.000270,0.264920,24.000000,0.000000,0.050000,1280.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,979.890000,984.200000,200.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,879.900000,884.210000,300.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,779.900000,784.200000,400.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,680.200000,684.500000,500.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,630.190000,634.500000,550.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,605.100000,609.290000,575.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,580.100000,584.300000,600.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,560.100000,564.410000,620.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,555.100000,559.400000,625.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,550.100000,554.390000,630.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,540.100000,544.400000,640.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,530.090000,534.400000,650.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,520.100000,524.390000,660.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,510.110000,514.390000,670.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,505.100000,509.400000,675.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,500.090000,504.400000,680.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,490.100000,494.400000,690.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,480.400000,484.400000,700.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,470.100000,474.400000,710.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,460.100000,464.400000,720.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,455.090000,459.400000,725.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,450.100000,454.400000,730.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,440.100000,444.390000,740.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,430.300000,434.400000,750.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,425.100000,429.390000,755.000000
2010-11-01,1184.060000,2010-11-18,17.040000,1.000000,0.000000,0.000000,0.000000,0.000000,,,420.100000,424.310000,760.000000
