[QUOTE_DATE],[UNDERLYING_LAST],[EXPIRE_DATE],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_BID],[C_ASK],[STRIKE]
2010-05-03,1202.030000,2010-05-06,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,225.110000,227.900000,975.000000
2010-05-03,1202.030000,2010-05-06,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,200.100000,203.000000,1000.000000
2010-05-03,1202.030000,2010-05-06,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,175.200000,178.490000,1025.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.947140,0.000150,0.115810,-0.020240,0.010540,0.705140,,150.400000,153.710000,1050.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.950760,0.000230,0.112190,-0.070430,0.013370,0.582420,,125.400000,128.800000,1075.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.952910,0.000570,0.110020,-0.169640,0.020240,0.470760,,100.600000,103.800000,1100.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.950320,0.001440,0.118910,-0.370250,0.035560,0.373640,,75.810000,78.990000,1125.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.933590,0.003460,0.157190,-0.451800,0.057220,0.284960,2.000000,51.190000,54.200000,1150.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.834890,0.009120,0.312140,-0.784320,0.082240,0.226450,13.000000,27.700000,30.600000,1175.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.531930,0.018730,0.499890,-1.067020,0.065740,0.170250,452.000000,8.590000,9.990000,1200.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.106320,0.009890,0.233140,-0.396920,0.014170,0.148240,857.000000,0.890000,1.000000,1225.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.010920,0.001390,0.035740,-0.052850,0.001690,0.164380,,0.040000,0.090000,1250.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.007320,0.000730,0.027810,-0.055410,0.000600,0.233580,657.000000,0.050000,0.100000,1275.000000
2010-05-03,1202.030000,2010-05-06,3.000000,0.002170,0.000200,0.010040,-0.020470,0.000390,0.267460,36.000000,0.000000,0.050000,1300.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,100.000000,698.690000,702.010000,500.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,648.810000,652.100000,550.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,598.800000,602.100000,600.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,578.600000,581.890000,620.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,573.590000,576.910000,625.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,568.600000,571.900000,630.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,558.610000,561.910000,640.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,548.800000,552.100000,650.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,538.800000,542.090000,660.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,528.800000,532.100000,670.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,523.800000,527.100000,675.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,518.800000,522.100000,680.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,513.800000,517.090000,685.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,508.790000,512.100000,690.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,498.800000,502.090000,700.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,493.900000,497.210000,705.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,488.890000,492.200000,710.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,483.900000,487.200000,715.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,478.800000,482.100000,720.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,473.790000,477.100000,725.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,468.800000,472.110000,730.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,463.690000,467.090000,735.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,458.700000,462.090000,740.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,453.700000,457.100000,745.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,448.800000,452.190000,750.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,443.700000,447.110000,755.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,438.690000,442.100000,760.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,433.690000,437.100000,765.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,428.800000,432.100000,770.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,423.800000,427.100000,775.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,418.800000,422.110000,780.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,413.800000,417.100000,785.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,408.800000,412.100000,790.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,403.800000,407.100000,795.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,398.800000,402.090000,800.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,393.800000,397.110000,805.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,388.800000,392.100000,810.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,383.790000,387.110000,815.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,378.800000,382.110000,820.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,373.800000,377.100000,825.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,368.700000,372.100000,830.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,363.700000,367.100000,835.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,358.690000,362.100000,840.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,353.700000,357.100000,845.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,348.700000,352.010000,850.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,343.810000,347.100000,855.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,338.800000,342.100000,860.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,333.810000,337.100000,865.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,328.790000,332.100000,870.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,323.700000,326.900000,875.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,318.700000,321.900000,880.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,313.700000,317.000000,885.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,308.700000,312.000000,890.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,303.690000,307.100000,895.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,298.900000,302.210000,900.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,293.900000,297.210000,905.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,288.910000,292.200000,910.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,283.810000,287.000000,915.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,278.790000,282.100000,920.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,273.800000,277.110000,925.000000
2010-05-03,1202.030000,2010-05-20,17.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,268.800000,272.100000,930.000000
